idPlayer,id
1,1
19,1
30,1
62,1
98,1
112,1
139,1
140,1
204,1
241,1
267,1
313,1
333,1
350,1
375,1
378,1
415,1
459,1
461,1
487,1
500,1
523,1
607,1
693,1
706,1
725,1
760,1
784,1
821,1
835,1
880,1
905,1
928,1
938,1
981,1
1027,1
1058,1
1068,1
1076,1
1095,1
1100,1
1173,1
1210,1
1271,1
1274,1
1276,1
1349,1
1366,1
1369,1
1390,1
1443,1
1453,1
1468,1
1488,1
1525,1
1556,1
1559,1
1564,1
1629,1
1642,1
1702,1
1750,1
1767,1
1815,1
1834,1
1849,1
1853,1
1866,1
1892,1
1936,1
2037,1
2042,1
2102,1
2117,1
2181,1
2184,1
2260,1
2267,1
2307,1
2344,1
2348,1
2357,1
2366,1
2438,1
2449,1
2454,1
2458,1
2495,1
2587,1
2593,1
2654,1
2675,1
2703,1
2711,1
2799,1
2818,1
2834,1
2840,1
2853,1
2893,1
2942,1
2963,1
3010,1
3016,1
3082,1
3095,1
3116,1
3140,1
3158,1
3165,1
3219,1
3284,1
3295,1
3361,1
3383,1
3417,1
3427,1
3482,1
3501,1
3555,1
3561,1
3592,1
3628,1
3629,1
3660,1
3674,1
3710,1
3726,1
3733,1
3752,1
3770,1
3772,1
3832,1
3838,1
3893,1
3936,1
3988,1
3993,1
4009,1
4078,1
4088,1
4122,1
4130,1
4143,1
4148,1
4185,1
4198,1
4199,1
4315,1
4403,1
4404,1
4426,1
4438,1
4526,1
4548,1
4640,1
4658,1
4671,1
4695,1
4697,1
4737,1
4769,1
4819,1
4837,1
4851,1
4879,1
4909,1
4938,1
4951,1
4971,1
5024,1
5034,1
5066,1
5100,1
5119,1
5124,1
5129,1
5220,1
5241,1
5269,1
5271,1
5306,1
5337,1
5350,1
5360,1
5381,1
5400,1
5437,1
5517,1
5563,1
5572,1
5594,1
5610,1
5696,1
5699,1
5722,1
5730,1
5755,1
5815,1
5893,1
5928,1
5933,1
6002,1
6020,1
6032,1
6060,1
6080,1
6092,1
6106,1
6120,1
6154,1
6181,1
6200,1
6225,1
6261,1
6269,1
6294,1
6331,1
6341,1
6345,1
6384,1
6413,1
6442,1
6452,1
6512,1
6518,1
6576,1
6606,1
6652,1
6707,1
6708,1
6717,1
6734,1
6754,1
6790,1
6808,1
6825,1
6902,1
6937,1
6941,1
7054,1
7072,1
7073,1
7128,1
7158,1
7171,1
7173,1
7178,1
7270,1
7278,1
7283,1
7380,1
7383,1
7438,1
7446,1
7464,1
7490,1
7525,1
7633,1
7642,1
7669,1
7702,1
7714,1
7738,1
7741,1
7761,1
7818,1
7819,1
7906,1
7917,1
7951,1
8043,1
8044,1
8050,1
8120,1
8134,1
8168,1
8270,1
8296,1
8362,1
8369,1
8402,1
8468,1
8471,1
8480,1
8499,1
8508,1
8515,1
8569,1
8584,1
8586,1
8635,1
8640,1
8701,1
8714,1
8774,1
8822,1
8834,1
8854,1
8873,1
8899,1
8940,1
8995,1
9003,1
9028,1
9065,1
9125,1
9128,1
9175,1
9187,1
9198,1
9253,1
9256,1
9306,1
9309,1
9329,1
9334,1
9424,1
9458,1
9509,1
9539,1
9575,1
9606,1
9667,1
9704,1
9716,1
9762,1
9776,1
9791,1
9821,1
9853,1
9854,1
9857,1
9924,1
9952,1
9997,1
10019,1
10045,1
10096,1
10100,1
10102,1
10108,1
10115,1
10162,1
10166,1
10204,1
10228,1
10230,1
10267,1
10299,1
10333,1
10341,1
10342,1
10344,1
10443,1
10468,1
10482,1
10487,1
10502,1
10585,1
10635,1
10650,1
10699,1
10803,1
10821,1
10862,1
10865,1
10902,1
10937,1
10948,1
10956,1
10979,1
10993,1
10994,1
11020,1
11057,1
11076,1
11091,1
11134,1
11136,1
11220,1
11253,1
11278,1
11310,1
11316,1
11325,1
11356,1
11359,1
11361,1
11365,1
11366,1
11371,1
11410,1
11422,1
11429,1
11509,1
11537,1
11568,1
11573,1
11577,1
11617,1
11629,1
11701,1
11755,1
