id,Season,Decade
291,1996,1996/2005
292,1996,1996/2005
293,1996,1996/2005
294,1996,1996/2005
295,1996,1996/2005
296,1996,1996/2005
297,1996,1996/2005
298,1996,1996/2005
299,1996,1996/2005
300,1996,1996/2005
301,1996,1996/2005
302,1996,1996/2005
303,1996,1996/2005
304,1996,1996/2005
305,1996,1996/2005
306,1996,1996/2005
307,1996,1996/2005
308,1996,1996/2005
309,1996,1996/2005
310,1996,1996/2005
311,1996,1996/2005
312,1996,1996/2005
313,1996,1996/2005
314,1996,1996/2005
315,1996,1996/2005
316,1996,1996/2005
317,1996,1996/2005
318,1996,1996/2005
319,1996,1996/2005
320,1996,1996/2005
321,1996,1996/2005
322,1996,1996/2005
323,1996,1996/2005
324,1996,1996/2005
325,1996,1996/2005
326,1996,1996/2005
327,1996,1996/2005
328,1996,1996/2005
329,1996,1996/2005
330,1996,1996/2005
331,1996,1996/2005
332,1996,1996/2005
333,1996,1996/2005
334,1996,1996/2005
335,1996,1996/2005
336,1996,1996/2005
337,1996,1996/2005
338,1996,1996/2005
339,1996,1996/2005
340,1996,1996/2005
341,1996,1996/2005
342,1996,1996/2005
343,1996,1996/2005
344,1996,1996/2005
345,1996,1996/2005
346,1996,1996/2005
347,1996,1996/2005
348,1996,1996/2005
349,1996,1996/2005
350,1996,1996/2005
351,1996,1996/2005
352,1996,1996/2005
353,1996,1996/2005
354,1996,1996/2005
355,1996,1996/2005
356,1996,1996/2005
357,1996,1996/2005
358,1996,1996/2005
359,1996,1996/2005
360,1996,1996/2005
361,1996,1996/2005
362,1996,1996/2005
363,1996,1996/2005
364,1996,1996/2005
365,1996,1996/2005
366,1996,1996/2005
367,1996,1996/2005
368,1996,1996/2005
369,1996,1996/2005
370,1996,1996/2005
371,1996,1996/2005
372,1996,1996/2005
373,1996,1996/2005
374,1996,1996/2005
375,1996,1996/2005
376,1996,1996/2005
377,1996,1996/2005
378,1996,1996/2005
379,1996,1996/2005
380,1996,1996/2005
381,1996,1996/2005
382,1996,1996/2005
383,1996,1996/2005
384,1996,1996/2005
385,1996,1996/2005
386,1996,1996/2005
387,1996,1996/2005
388,1996,1996/2005
389,1996,1996/2005
390,1996,1996/2005
391,1996,1996/2005
392,1996,1996/2005
393,1996,1996/2005
394,1996,1996/2005
395,1996,1996/2005
396,1996,1996/2005
397,1996,1996/2005
398,1996,1996/2005
399,1996,1996/2005
400,1996,1996/2005
401,1996,1996/2005
402,1996,1996/2005
403,1996,1996/2005
404,1996,1996/2005
405,1996,1996/2005
406,1996,1996/2005
407,1996,1996/2005
408,1996,1996/2005
409,1996,1996/2005
410,1996,1996/2005
411,1996,1996/2005
412,1996,1996/2005
413,1996,1996/2005
414,1996,1996/2005
415,1996,1996/2005
416,1996,1996/2005
417,1996,1996/2005
418,1996,1996/2005
419,1996,1996/2005
420,1996,1996/2005
421,1996,1996/2005
422,1996,1996/2005
423,1996,1996/2005
424,1996,1996/2005
425,1996,1996/2005
426,1996,1996/2005
427,1996,1996/2005
428,1996,1996/2005
429,1996,1996/2005
430,1996,1996/2005
431,1996,1996/2005
432,1996,1996/2005
433,1996,1996/2005
434,1996,1996/2005
435,1996,1996/2005
436,1996,1996/2005
437,1996,1996/2005
438,1996,1996/2005
439,1996,1996/2005
440,1996,1996/2005
441,1996,1996/2005
442,1997,1996/2005
443,1997,1996/2005
444,1997,1996/2005
445,1997,1996/2005
446,1997,1996/2005
447,1997,1996/2005
448,1997,1996/2005
449,1997,1996/2005
450,1997,1996/2005
451,1997,1996/2005
452,1997,1996/2005
453,1997,1996/2005
454,1997,1996/2005
455,1997,1996/2005
456,1997,1996/2005
457,1997,1996/2005
458,1997,1996/2005
459,1997,1996/2005
460,1997,1996/2005
461,1997,1996/2005
462,1997,1996/2005
463,1997,1996/2005
464,1997,1996/2005
465,1997,1996/2005
466,1997,1996/2005
467,1997,1996/2005
468,1997,1996/2005
469,1997,1996/2005
470,1997,1996/2005
471,1997,1996/2005
472,1997,1996/2005
473,1997,1996/2005
474,1997,1996/2005
475,1997,1996/2005
476,1997,1996/2005
477,1997,1996/2005
478,1997,1996/2005
479,1997,1996/2005
480,1997,1996/2005
481,1997,1996/2005
482,1997,1996/2005
483,1997,1996/2005
484,1997,1996/2005
485,1997,1996/2005
486,1997,1996/2005
487,1997,1996/2005
488,1997,1996/2005
489,1997,1996/2005
490,1997,1996/2005
491,1997,1996/2005
492,1997,1996/2005
493,1997,1996/2005
494,1997,1996/2005
495,1997,1996/2005
496,1997,1996/2005
497,1997,1996/2005
498,1997,1996/2005
499,1997,1996/2005
500,1997,1996/2005
501,1997,1996/2005
502,1997,1996/2005
503,1997,1996/2005
504,1997,1996/2005
505,1997,1996/2005
506,1997,1996/2005
507,1997,1996/2005
508,1997,1996/2005
509,1997,1996/2005
510,1997,1996/2005
511,1997,1996/2005
512,1997,1996/2005
513,1997,1996/2005
514,1997,1996/2005
515,1997,1996/2005
516,1997,1996/2005
517,1997,1996/2005
518,1997,1996/2005
519,1997,1996/2005
520,1997,1996/2005
521,1997,1996/2005
522,1997,1996/2005
523,1997,1996/2005
524,1997,1996/2005
525,1997,1996/2005
526,1997,1996/2005
527,1997,1996/2005
528,1997,1996/2005
529,1997,1996/2005
530,1997,1996/2005
531,1997,1996/2005
532,1997,1996/2005
533,1997,1996/2005
534,1997,1996/2005
535,1997,1996/2005
536,1997,1996/2005
537,1997,1996/2005
538,1997,1996/2005
539,1997,1996/2005
540,1997,1996/2005
541,1997,1996/2005
542,1997,1996/2005
543,1997,1996/2005
544,1997,1996/2005
545,1997,1996/2005
546,1997,1996/2005
547,1997,1996/2005
548,1997,1996/2005
549,1997,1996/2005
550,1997,1996/2005
551,1997,1996/2005
552,1997,1996/2005
553,1997,1996/2005
554,1997,1996/2005
555,1997,1996/2005
556,1997,1996/2005
557,1997,1996/2005
558,1997,1996/2005
559,1997,1996/2005
560,1997,1996/2005
561,1997,1996/2005
562,1997,1996/2005
563,1997,1996/2005
564,1997,1996/2005
565,1997,1996/2005
566,1997,1996/2005
567,1997,1996/2005
568,1997,1996/2005
569,1997,1996/2005
570,1997,1996/2005
571,1997,1996/2005
572,1997,1996/2005
573,1997,1996/2005
574,1997,1996/2005
575,1997,1996/2005
576,1997,1996/2005
577,1997,1996/2005
578,1997,1996/2005
579,1997,1996/2005
580,1997,1996/2005
581,1997,1996/2005
582,1997,1996/2005
583,1997,1996/2005
584,1997,1996/2005
585,1997,1996/2005
586,1997,1996/2005
587,1997,1996/2005
588,1997,1996/2005
589,1997,1996/2005
590,1997,1996/2005
591,1997,1996/2005
592,1997,1996/2005
593,1997,1996/2005
594,1997,1996/2005
595,1997,1996/2005
596,1997,1996/2005
597,1997,1996/2005
598,1997,1996/2005
599,1997,1996/2005
600,1997,1996/2005
601,1997,1996/2005
602,1997,1996/2005
603,1997,1996/2005
604,1997,1996/2005
605,1997,1996/2005
606,1997,1996/2005
607,1997,1996/2005
608,1997,1996/2005
609,1997,1996/2005
610,1997,1996/2005
611,1997,1996/2005
612,1997,1996/2005
613,1997,1996/2005
614,1997,1996/2005
615,1997,1996/2005
616,1997,1996/2005
617,1997,1996/2005
618,1997,1996/2005
619,1997,1996/2005
620,1997,1996/2005
621,1997,1996/2005
622,1997,1996/2005
623,1997,1996/2005
624,1997,1996/2005
625,1997,1996/2005
626,1997,1996/2005
627,1997,1996/2005
628,1997,1996/2005
629,1997,1996/2005
630,1997,1996/2005
631,1997,1996/2005
632,1997,1996/2005
633,1997,1996/2005
634,1997,1996/2005
635,1997,1996/2005
636,1997,1996/2005
637,1997,1996/2005
638,1997,1996/2005
639,1997,1996/2005
640,1997,1996/2005
641,1997,1996/2005
642,1997,1996/2005
643,1997,1996/2005
644,1997,1996/2005
645,1997,1996/2005
646,1997,1996/2005
647,1997,1996/2005
648,1997,1996/2005
649,1997,1996/2005
650,1997,1996/2005
651,1997,1996/2005
652,1997,1996/2005
653,1997,1996/2005
654,1997,1996/2005
655,1997,1996/2005
656,1997,1996/2005
657,1997,1996/2005
658,1997,1996/2005
659,1997,1996/2005
